date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:11	110/110	---M-Z	200	added ('OK')	text/plain	etag:%22590b3802ff05664ac400dcebb17d80af%22	https://exact-strengthening-958016.framer.app/robots.txt		(from )
23:32:11	580455/580455	---M-Z	200	added ('OK')	text/html	etag:%22b7f1ae0f3db87ad801f5dd52dd0f6ec1%22	https://exact-strengthening-958016.framer.app/	C:/My%20Web%20Sites/SITO/exact-strengthening-958016.framer.app/index.html	(from )
23:32:12	288/288	---MC-	200	added ('OK')	image/png	date:Mon,%2019%20Feb%202024%2010:38:43%20GMT	https://framerusercontent.com/images/CFzE97C3SMhufhqGZ7MAzEZD3g.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/CFzE97C3SMhufhqGZ7MAzEZD3g.png	(from https://exact-strengthening-958016.framer.app/)
23:32:12	78160/78160	---MC-	200	added ('OK')	image/png	date:Mon,%2020%20May%202024%2015:43:07%20GMT	https://framerusercontent.com/images/blaxrSoucBHP4I1JAJy5rECBKsc.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/blaxrSoucBHP4I1JAJy5rECBKsc.png	(from https://exact-strengthening-958016.framer.app/)
23:32:12	188619/188619	---M-Z	200	added ('OK')	text/html	etag:%222754bbf1deac3a6abe74a9e0372e0917%22	https://exact-strengthening-958016.framer.app/portfolio-dark-contact	C:/My%20Web%20Sites/SITO/exact-strengthening-958016.framer.app/portfolio-dark-contact.html	(from https://exact-strengthening-958016.framer.app/)
23:32:13	266056/266056	---M-Z	200	added ('OK')	text/html	etag:%22997f47c98e810d27626552af89907261%22	https://exact-strengthening-958016.framer.app/portfolio-dark-work-single/lightric-motors	C:/My%20Web%20Sites/SITO/exact-strengthening-958016.framer.app/portfolio-dark-work-single/lightric-motors.html	(from https://exact-strengthening-958016.framer.app/)
23:32:19	1514124/1514124	---MC-	200	added ('OK')	image/png	etag:%22b69b6ccea197d52f0f59c999e792bc5a%22	https://framerusercontent.com/images/z53CGL4CGbDZZ5qmdQ3RSKtPkzc.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/z53CGL4CGbDZZ5qmdQ3RSKtPkzc.png	(from https://exact-strengthening-958016.framer.app/)
23:32:19	264265/264265	---M-Z	200	added ('OK')	text/html	etag:%221d4f6329039c243e2a37702d550f5f3c%22	https://exact-strengthening-958016.framer.app/portfolio-dark-work-single/positive-energy	C:/My%20Web%20Sites/SITO/exact-strengthening-958016.framer.app/portfolio-dark-work-single/positive-energy.html	(from https://exact-strengthening-958016.framer.app/)
23:32:20	294526/294526	---MC-	200	added ('OK')	image/jpeg	etag:%2289e976c3007e593a0a37f0367b9cf44d%22	https://framerusercontent.com/images/dBldCtpBdIpwvn5ZH5HL0JndujU.jpg	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/dBldCtpBdIpwvn5ZH5HL0JndujU.jpg	(from https://exact-strengthening-958016.framer.app/)
23:32:20	264187/264187	---M-Z	200	added ('OK')	text/html	etag:%222b78d8eb8c8d6f89136e4d4c3de5db41%22	https://exact-strengthening-958016.framer.app/portfolio-dark-work-single/xiong-wall	C:/My%20Web%20Sites/SITO/exact-strengthening-958016.framer.app/portfolio-dark-work-single/xiong-wall.html	(from https://exact-strengthening-958016.framer.app/)
23:32:20	606327/606327	---MC-	200	added ('OK')	image/png	etag:%226f6fc5551451e089cef08ab5787f8536%22	https://framerusercontent.com/images/5HIfFsJJQU7KNYJYUJmJZHcbM.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/5HIfFsJJQU7KNYJYUJmJZHcbM.png	(from https://exact-strengthening-958016.framer.app/)
23:32:21	264359/264359	---M-Z	200	added ('OK')	text/html	etag:%22ce976c8c2e5cad45f212c7e7b725a8f3%22	https://exact-strengthening-958016.framer.app/portfolio-dark-work-single/hideaway	C:/My%20Web%20Sites/SITO/exact-strengthening-958016.framer.app/portfolio-dark-work-single/hideaway.html	(from https://exact-strengthening-958016.framer.app/)
23:32:21	461220/461220	---MC-	200	added ('OK')	image/png	etag:%22f3da821da7a067824b2a396233514657%22	https://framerusercontent.com/images/3gVniiKN1aFDSOA7cjdOsYJkFcY.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/3gVniiKN1aFDSOA7cjdOsYJkFcY.png	(from https://exact-strengthening-958016.framer.app/)
23:32:21	264223/264223	---M-Z	200	added ('OK')	text/html	etag:%228cb0006e15adfc5f0ebbba3c7782e670%22	https://exact-strengthening-958016.framer.app/portfolio-dark-work-single/califfo	C:/My%20Web%20Sites/SITO/exact-strengthening-958016.framer.app/portfolio-dark-work-single/califfo.html	(from https://exact-strengthening-958016.framer.app/)
23:32:21	144338/144338	---MC-	200	added ('OK')	image/png	etag:%22542f9c361fe5f920ee475e6aaa1ac35c%22	https://framerusercontent.com/images/z4ht6aUcgsC4KoUuPLMR9w74D7k.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/z4ht6aUcgsC4KoUuPLMR9w74D7k.png	(from https://exact-strengthening-958016.framer.app/)
23:32:22	264408/264408	---M-Z	200	added ('OK')	text/html	etag:%22ec67cf168e211827097e91c206e2a385%22	https://exact-strengthening-958016.framer.app/portfolio-dark-work-single/louis-martin	C:/My%20Web%20Sites/SITO/exact-strengthening-958016.framer.app/portfolio-dark-work-single/louis-martin.html	(from https://exact-strengthening-958016.framer.app/)
23:32:22	1504983/1504983	---MC-	200	added ('OK')	image/png	etag:%220de84621ef1dedecb60c2c88e459fa71%22	https://framerusercontent.com/images/cHaxuX6NCvnQQ70tBAO9ygo.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/cHaxuX6NCvnQQ70tBAO9ygo.png	(from https://exact-strengthening-958016.framer.app/)
23:32:22	879193/879193	---MC-	200	added ('OK')	image/png	etag:%22ff44e69243a4fa434f6d709714c1378d%22	https://framerusercontent.com/images/42NzX0eoGWPgR8qQlHoYQamocTo.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/42NzX0eoGWPgR8qQlHoYQamocTo.png	(from https://exact-strengthening-958016.framer.app/)
23:32:22	3681/3681	---MC-	200	added ('OK')	image/png	etag:%22fdaf577da29574c48695719c5075a16f%22	https://framerusercontent.com/images/qDUMiDuI5ao4dPjdKcx8B6eoBds.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/qDUMiDuI5ao4dPjdKcx8B6eoBds.png	(from https://exact-strengthening-958016.framer.app/)
23:32:22	150897/150897	---MC-	200	added ('OK')	image/jpeg	etag:%22320ec327830abc407ab54331d75ccc4c%22	https://framerusercontent.com/images/yOj3ksVRxiMxzQEOt9gmDH7qiM.jpg	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/yOj3ksVRxiMxzQEOt9gmDH7qiM.jpg	(from https://exact-strengthening-958016.framer.app/)
23:32:23	904/904	---MC-	200	added ('OK')	image/png	etag:%22cb900447bf57c653823a75914945a19b%22	https://framerusercontent.com/images/8IwIgcK4xKufK1r1bGdf5fwrWek.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/8IwIgcK4xKufK1r1bGdf5fwrWek.png	(from https://exact-strengthening-958016.framer.app/)
23:32:23	1294/1294	---MC-	200	added ('OK')	image/png	etag:%22fbbe3848640d62591df977698ee713fb%22	https://framerusercontent.com/images/TZGKAHVLPTSUJdTkEUZl8tby7i8.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/TZGKAHVLPTSUJdTkEUZl8tby7i8.png	(from https://exact-strengthening-958016.framer.app/)
23:32:23	2547/2547	---MC-	200	added ('OK')	image/png	etag:%22ff529afdd859d9339fbd489fbb7d35ff%22	https://framerusercontent.com/images/QYmq308u4qG3O15gu4OOjuYYbyo.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/QYmq308u4qG3O15gu4OOjuYYbyo.png	(from https://exact-strengthening-958016.framer.app/)
23:32:23	1565/1565	---MC-	200	added ('OK')	image/png	etag:%22ef0e3ca6662b61ef2fa2c86aaed86f01%22	https://framerusercontent.com/images/i1qzooaRY2pVklHY3jsL2Nblx0.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/i1qzooaRY2pVklHY3jsL2Nblx0.png	(from https://exact-strengthening-958016.framer.app/)
23:32:23	2109/2109	---MC-	200	added ('OK')	image/png	etag:%22395548db88c8dcadaf759429ee17726d%22	https://framerusercontent.com/images/xL1pxFKEk9o28sWV9ZwImwQ9A.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/xL1pxFKEk9o28sWV9ZwImwQ9A.png	(from https://exact-strengthening-958016.framer.app/)
23:32:24	241158/241158	---MC-	200	added ('OK')	image/png	etag:%22f122ac3876ef4b995f04189fd85e0294%22	https://framerusercontent.com/images/UpYDa6jt6hTaXYT9s7JxSVAdEIM.jpeg	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/UpYDa6jt6hTaXYT9s7JxSVAdEIM.png	(from https://exact-strengthening-958016.framer.app/)
23:32:24	811/811	---MC-	200	added ('OK')	image/png	etag:%220c1bb57a67ff4b7ba2d605b7a5c02c1c%22	https://framerusercontent.com/images/mvHLmg0xTa9yaaLJDYLRCbbsPFE.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/mvHLmg0xTa9yaaLJDYLRCbbsPFE.png	(from https://exact-strengthening-958016.framer.app/)
23:32:24	1534557/1534557	---MC-	200	added ('OK')	image/png	etag:%2221089c08eb3594faee4635f97c854ea3%22	https://framerusercontent.com/images/YHldWOe8qlJaqM5a7SYHtcXpIHw.jpeg	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/YHldWOe8qlJaqM5a7SYHtcXpIHw.png	(from https://exact-strengthening-958016.framer.app/)
23:32:24	821/821	---MC-	200	added ('OK')	image/png	etag:%22717646d1d9294e56d0ce8226f37305e5%22	https://framerusercontent.com/images/1cK1mwpYlMOpUh9NS6hpCbrlsU.png	C:/My%20Web%20Sites/SITO/framerusercontent.com/images/1cK1mwpYlMOpUh9NS6hpCbrlsU.png	(from https://exact-strengthening-958016.framer.app/)
